data
Номер заказа|Дата заказа|Название товара|Категория товара|Количество продаж|Цена за единицу|Общая стоимость
1077|10.12.2021|Липтон|Напитки|20|500|100000
1035|12.12.2021|Черешня|Ягоды|30|200|6000
1036|12.12.2021|Сырники|Полуфабрикаты|10|20|200
1037|15.12.2021|Сладкая вата|Сладкое|40|150|6000
1038|15.12.2021|Картофельные чипсы|Снеки|50|100|5000
1039|15.12.2021|Докторская колбаса|колбасы|10|300|3000
1112|15.12.2021|Кофе|Снеки|20|4000|80000
1113|15.12.2021|Скумбрия|Рыба|10|3850|38500
1114|16.12.2021|Гранадилла|Соуса|20|6000|6000
1115|16.12.2021|Горчица|Соуса|10|20|200
1116|16.12.2021|Молоко|Молочка|70|7000|7000
1117|16.12.2021|Арахис|Снеки|20|1000|1000
1118|16.12.2021|Кукурузные палочки|Снеки|30|3000|3000
1119|17.12.2021|Клубника|Ягоды|8|2000|2000
1120|17.12.2021|Персики|Фрукты|5|4000|4000
